transaction_id,date,branch_id,branch_name,kota,provinsi,rating_cabang,customer_name,product_id,product_name,actual_price,discount_percentage,persentase_gross_laba,nett_sales,nett_profit,rating_transaksi
TRX6016673,2021-12-26,41131,Kimia Farma - Apotek,Yogyakarta,DI Yogyakarta,4.8,Jasmin Wood,KF601,"Psycholeptics drugs, Anxiolytic drugs",512000,0.04,0.3,491520.0,147456.0,4.2
TRX7450599,2020-09-23,86667,Kimia Farma - Apotek,Bekasi,Jawa Barat,4.6,Benjamin Johnson,KF601,"Psycholeptics drugs, Anxiolytic drugs",512000,0.04,0.3,491520.0,147456.0,4.7
TRX4840961,2021-03-10,51463,Kimia Farma - Apotek,Ternate,Maluku Utara,4.4,Robin Simpson,KF601,"Psycholeptics drugs, Anxiolytic drugs",512000,0.04,0.3,491520.0,147456.0,4.8
TRX4087575,2022-05-13,23248,Kimia Farma - Apotek,Bima,Nusa Tenggara Barat,4.1,Jason Huff,KF601,"Psycholeptics drugs, Anxiolytic drugs",512000,0.04,0.3,491520.0,147456.0,4.4
TRX3182354,2022-09-30,41183,Kimia Farma - Apotek,Gorontalo,Gorontalo,4.8,Jaclyn Hill,KF601,"Psycholeptics drugs, Anxiolytic drugs",512000,0.04,0.3,491520.0,147456.0,5.0
TRX3033874,2023-09-03,70395,Kimia Farma - Apotek,Medan,Sumatera Utara,4.6,Nicholas Heath,KF601,"Psycholeptics drugs, Anxiolytic drugs",512000,0.04,0.3,491520.0,147456.0,4.4
TRX1159366,2020-09-16,58928,Kimia Farma - Apotek,Solok,Sumatera Barat,4.0,Cody Fuller,KF601,"Psycholeptics drugs, Anxiolytic drugs",512000,0.04,0.3,491520.0,147456.0,4.1
TRX9751260,2023-02-25,63673,Kimia Farma - Apotek,Sorong,Papua Barat,4.8,Debra Diaz,KF601,"Psycholeptics drugs, Anxiolytic drugs",512000,0.04,0.3,491520.0,147456.0,3.7
TRX8066197,2023-08-29,26025,Kimia Farma - Apotek,Kotamobagu,Sulawesi Utara,4.8,Jorge Palmer,KF601,"Psycholeptics drugs, Anxiolytic drugs",512000,0.04,0.3,491520.0,147456.0,4.4
TRX1148810,2021-03-07,73569,Kimia Farma - Apotek,Madiun,Jawa Timur,4.4,Julie Wilson,KF601,"Psycholeptics drugs, Anxiolytic drugs",512000,0.04,0.3,491520.0,147456.0,5.0
TRX7544241,2023-06-05,15235,Kimia Farma - Apotek,Payakumbuh,Sumatera Barat,4.2,Ryan Turner,KF601,"Psycholeptics drugs, Anxiolytic drugs",512000,0.04,0.3,491520.0,147456.0,3.8
TRX5333197,2020-11-05,60964,Kimia Farma - Apotek,Pariaman,Sumatera Barat,4.3,Deanna Dickerson,KF601,"Psycholeptics drugs, Anxiolytic drugs",512000,0.04,0.3,491520.0,147456.0,3.6
TRX2063986,2023-10-23,73804,Kimia Farma - Apotek,Kendari,Sulawesi Tenggara,4.3,Mr. Matthew Warren,KF601,"Psycholeptics drugs, Anxiolytic drugs",512000,0.04,0.3,491520.0,147456.0,4.7
TRX7155351,2020-09-16,27441,Kimia Farma - Apotek,Lhokseumawe,Aceh,5.0,Ronald Howell,KF601,"Psycholeptics drugs, Anxiolytic drugs",512000,0.04,0.3,491520.0,147456.0,5.0
TRX9519001,2023-10-23,36953,Kimia Farma - Apotek,Cilacap,Jawa Tengah,5.0,Sherry Mack,KF601,"Psycholeptics drugs, Anxiolytic drugs",512000,0.04,0.3,491520.0,147456.0,3.3
TRX6030577,2020-07-05,73625,Kimia Farma - Apotek,Kotamobagu,Sulawesi Utara,4.9,Nancy Guerrero,KF601,"Psycholeptics drugs, Anxiolytic drugs",512000,0.04,0.3,491520.0,147456.0,3.2
TRX1038605,2023-12-03,25432,Kimia Farma - Apotek,Cirebon,Jawa Barat,4.2,Tanya Lawson,KF601,"Psycholeptics drugs, Anxiolytic drugs",512000,0.04,0.3,491520.0,147456.0,3.2
TRX9141033,2023-03-24,49758,Kimia Farma - Apotek,Pematangsiantar,Sumatera Utara,4.7,Elizabeth Powell,KF601,"Psycholeptics drugs, Anxiolytic drugs",512000,0.04,0.3,491520.0,147456.0,4.7
TRX9458685,2023-09-08,73436,Kimia Farma - Apotek,Jambi,Jambi,4.4,Stephanie Carter,KF601,"Psycholeptics drugs, Anxiolytic drugs",512000,0.04,0.3,491520.0,147456.0,3.3
TRX6870218,2021-08-23,47927,Kimia Farma - Apotek,Jambi,Jambi,4.7,Nicole Hayes,KF601,"Psycholeptics drugs, Anxiolytic drugs",512000,0.04,0.3,491520.0,147456.0,5.0
TRX4751651,2021-08-28,54200,Kimia Farma - Apotek,Purwakarta,Jawa Barat,3.9,Tyler Chen,KF601,"Psycholeptics drugs, Anxiolytic drugs",512000,0.04,0.3,491520.0,147456.0,4.5
TRX7001193,2021-10-10,34844,Kimia Farma - Apotek,Lubuklinggau,Sumatera Selatan,4.1,Cristina Cole,KF601,"Psycholeptics drugs, Anxiolytic drugs",512000,0.04,0.3,491520.0,147456.0,3.2
TRX5299472,2023-01-14,59449,Kimia Farma - Apotek,Indramayu,Jawa Barat,4.1,Katherine Young,KF601,"Psycholeptics drugs, Anxiolytic drugs",512000,0.04,0.3,491520.0,147456.0,4.9
TRX6329690,2021-11-11,80343,Kimia Farma - Apotek,Jakarta,DKI Jakarta,4.5,Patrick Carter,KF601,"Psycholeptics drugs, Anxiolytic drugs",512000,0.04,0.3,491520.0,147456.0,4.9
TRX8879002,2020-03-21,62913,Kimia Farma - Apotek,Palembang,Sumatera Selatan,4.5,Joseph Brown,KF601,"Psycholeptics drugs, Anxiolytic drugs",512000,0.04,0.3,491520.0,147456.0,4.0
TRX8246946,2022-03-31,58928,Kimia Farma - Apotek,Solok,Sumatera Barat,4.0,Dennis Bell,KF601,"Psycholeptics drugs, Anxiolytic drugs",512000,0.04,0.3,491520.0,147456.0,4.2
TRX9457881,2021-03-05,78158,Kimia Farma - Apotek,Palu,Sulawesi Tengah,4.1,Jessica Gates,KF601,"Psycholeptics drugs, Anxiolytic drugs",512000,0.04,0.3,491520.0,147456.0,4.5
TRX8691247,2020-02-23,29203,Kimia Farma - Apotek,Tasikmalaya,Jawa Barat,4.3,Joshua Baker,KF601,"Psycholeptics drugs, Anxiolytic drugs",512000,0.04,0.3,491520.0,147456.0,3.9
TRX3265842,2020-10-17,84189,Kimia Farma - Apotek,Ciamis,Jawa Barat,5.0,Sara Perry,KF601,"Psycholeptics drugs, Anxiolytic drugs",512000,0.04,0.3,491520.0,147456.0,3.2
TRX7922368,2021-03-30,62312,Kimia Farma - Apotek,Cianjur,Jawa Barat,4.5,Bobby Hudson,KF601,"Psycholeptics drugs, Anxiolytic drugs",512000,0.04,0.3,491520.0,147456.0,4.6
TRX9053607,2021-04-14,75046,Kimia Farma - Apotek,Denpasar,Bali,4.4,Jerry Roberts,KF601,"Psycholeptics drugs, Anxiolytic drugs",512000,0.04,0.3,491520.0,147456.0,3.6
TRX8132922,2023-11-13,92899,Kimia Farma - Apotek,Dumai,Riau,4.7,Darlene Kennedy,KF601,"Psycholeptics drugs, Anxiolytic drugs",512000,0.04,0.3,491520.0,147456.0,3.2
TRX3572915,2023-05-24,42922,Kimia Farma - Apotek,Palangkaraya,Kalimantan Tengah,4.1,Brian Mcfarland,KF601,"Psycholeptics drugs, Anxiolytic drugs",512000,0.04,0.3,491520.0,147456.0,3.4
TRX8034100,2021-11-15,14495,Kimia Farma - Apotek,Banjarmasin,Kalimantan Selatan,4.8,Thomas Perez,KF601,"Psycholeptics drugs, Anxiolytic drugs",512000,0.04,0.3,491520.0,147456.0,3.4
TRX2967006,2021-12-08,87938,Kimia Farma - Apotek,Samarinda,Kalimantan Timur,4.5,Amy Brandt,KF601,"Psycholeptics drugs, Anxiolytic drugs",512000,0.04,0.3,491520.0,147456.0,4.8
TRX4662458,2020-04-27,29922,Kimia Farma - Apotek,Purwokerto,Jawa Tengah,3.9,Sydney Gutierrez,KF601,"Psycholeptics drugs, Anxiolytic drugs",512000,0.04,0.3,491520.0,147456.0,3.2
TRX3678735,2021-05-23,36256,Kimia Farma - Apotek,Sukabumi,Jawa Barat,4.1,Oscar Valdez,KF601,"Psycholeptics drugs, Anxiolytic drugs",512000,0.04,0.3,491520.0,147456.0,3.6
TRX5078459,2023-02-13,85280,Kimia Farma - Apotek,Banda Aceh,Aceh,4.0,Kristin Ruiz,KF601,"Psycholeptics drugs, Anxiolytic drugs",512000,0.04,0.3,491520.0,147456.0,5.0
TRX5301916,2023-03-31,61185,Kimia Farma - Apotek,Sibolga,Sumatera Utara,4.4,Rachel Fuller,KF601,"Psycholeptics drugs, Anxiolytic drugs",512000,0.04,0.3,491520.0,147456.0,3.1
TRX9462816,2021-07-20,12560,Kimia Farma - Apotek,Padang Sidempuan,Sumatera Utara,4.4,Kyle Williams,KF601,"Psycholeptics drugs, Anxiolytic drugs",512000,0.04,0.3,491520.0,147456.0,3.6
TRX1389841,2021-02-08,48617,Kimia Farma - Apotek,Tasikmalaya,Jawa Barat,4.3,Jacob Anderson,KF601,"Psycholeptics drugs, Anxiolytic drugs",512000,0.04,0.3,491520.0,147456.0,3.9
TRX7396209,2021-11-17,16339,Kimia Farma - Apotek,Subang,Jawa Barat,4.7,Amber Ramsey,KF601,"Psycholeptics drugs, Anxiolytic drugs",512000,0.04,0.3,491520.0,147456.0,3.3
TRX6906361,2022-01-28,23248,Kimia Farma - Apotek,Bima,Nusa Tenggara Barat,4.1,Elizabeth Thompson,KF601,"Psycholeptics drugs, Anxiolytic drugs",512000,0.04,0.3,491520.0,147456.0,3.8
TRX3390466,2022-10-05,35019,Kimia Farma - Apotek,Banjarmasin,Kalimantan Selatan,5.0,Patricia Morrow,KF601,"Psycholeptics drugs, Anxiolytic drugs",512000,0.04,0.3,491520.0,147456.0,3.7
TRX1937686,2021-06-08,27840,Kimia Farma - Apotek,Denpasar,Bali,4.3,Allison Allen,KF601,"Psycholeptics drugs, Anxiolytic drugs",512000,0.04,0.3,491520.0,147456.0,4.4
TRX3670814,2021-06-07,40222,Kimia Farma - Apotek,Purwokerto,Jawa Tengah,4.1,Christopher Wood,KF601,"Psycholeptics drugs, Anxiolytic drugs",512000,0.04,0.3,491520.0,147456.0,3.6
TRX1747393,2022-10-08,17469,Kimia Farma - Apotek,Lubuklinggau,Sumatera Selatan,3.9,Suzanne Gutierrez,KF601,"Psycholeptics drugs, Anxiolytic drugs",512000,0.04,0.3,491520.0,147456.0,4.7
TRX1054883,2022-05-01,60481,Kimia Farma - Apotek,Pekanbaru,Riau,4.1,Andrew Clark,KF601,"Psycholeptics drugs, Anxiolytic drugs",512000,0.04,0.3,491520.0,147456.0,4.5
TRX2484597,2021-05-13,96462,Kimia Farma - Apotek,Semarang,Jawa Tengah,4.1,Jesus Gibson,KF601,"Psycholeptics drugs, Anxiolytic drugs",512000,0.04,0.3,491520.0,147456.0,4.9
TRX8234018,2022-08-14,28844,Kimia Farma - Apotek,Indramayu,Jawa Barat,4.1,Garrett Salas,KF601,"Psycholeptics drugs, Anxiolytic drugs",512000,0.04,0.3,491520.0,147456.0,4.0
TRX4093521,2021-12-28,47927,Kimia Farma - Apotek,Jambi,Jambi,4.7,William Medina,KF601,"Psycholeptics drugs, Anxiolytic drugs",512000,0.04,0.3,491520.0,147456.0,4.2
TRX2052994,2020-10-07,92076,Kimia Farma - Apotek,Batam,Kepulauan Riau,4.0,Thomas Ellis,KF601,"Psycholeptics drugs, Anxiolytic drugs",512000,0.04,0.3,491520.0,147456.0,4.7
TRX9821710,2022-07-28,52060,Kimia Farma - Apotek,Sibolga,Sumatera Utara,4.2,Robert Peters,KF601,"Psycholeptics drugs, Anxiolytic drugs",512000,0.04,0.3,491520.0,147456.0,4.2
TRX5022925,2021-06-10,81008,Kimia Farma - Apotek,Cilacap,Jawa Tengah,4.8,Sharon Thomas,KF601,"Psycholeptics drugs, Anxiolytic drugs",512000,0.04,0.3,491520.0,147456.0,3.5
TRX1819586,2022-06-20,58132,Kimia Farma - Apotek,Padang Sidempuan,Sumatera Utara,4.5,Alicia Wilson,KF601,"Psycholeptics drugs, Anxiolytic drugs",512000,0.04,0.3,491520.0,147456.0,4.3
TRX2220149,2022-12-24,24789,Kimia Farma - Apotek,Mataram,Nusa Tenggara Barat,4.2,Justin Jones,KF601,"Psycholeptics drugs, Anxiolytic drugs",512000,0.04,0.3,491520.0,147456.0,4.5
TRX9689604,2020-09-08,13935,Kimia Farma - Apotek,Tebing Tinggi,Sumatera Utara,4.5,Rachel Wells,KF601,"Psycholeptics drugs, Anxiolytic drugs",512000,0.04,0.3,491520.0,147456.0,3.4
TRX9884060,2020-06-27,65584,Kimia Farma - Apotek,Semarang,Jawa Tengah,5.0,Michael Novak,KF601,"Psycholeptics drugs, Anxiolytic drugs",512000,0.04,0.3,491520.0,147456.0,3.9
TRX6238707,2022-11-03,25572,Kimia Farma - Apotek,Bontang,Kalimantan Timur,3.9,Terrence Olson,KF601,"Psycholeptics drugs, Anxiolytic drugs",512000,0.04,0.3,491520.0,147456.0,3.3
TRX5693869,2020-05-12,43007,Kimia Farma - Apotek,Ciamis,Jawa Barat,4.0,Mary Grant,KF601,"Psycholeptics drugs, Anxiolytic drugs",512000,0.04,0.3,491520.0,147456.0,4.0
TRX3967951,2023-07-02,28557,Kimia Farma - Apotek,Jambi,Jambi,4.5,Rhonda Miller,KF601,"Psycholeptics drugs, Anxiolytic drugs",512000,0.04,0.3,491520.0,147456.0,3.2
TRX9803912,2021-05-13,45642,Kimia Farma - Apotek,Cikampek,Jawa Barat,4.7,Jennifer Jenkins,KF601,"Psycholeptics drugs, Anxiolytic drugs",512000,0.04,0.3,491520.0,147456.0,3.1
TRX4742164,2023-11-10,21930,Kimia Farma - Apotek,Solok,Sumatera Barat,4.9,David Bowers,KF601,"Psycholeptics drugs, Anxiolytic drugs",512000,0.04,0.3,491520.0,147456.0,3.6
TRX1666930,2022-05-29,28557,Kimia Farma - Apotek,Jambi,Jambi,4.5,Christina Mathews,KF601,"Psycholeptics drugs, Anxiolytic drugs",512000,0.04,0.3,491520.0,147456.0,3.6
TRX5499666,2022-06-01,85549,Kimia Farma - Apotek,Ciamis,Jawa Barat,4.0,Jessica Lee,KF601,"Psycholeptics drugs, Anxiolytic drugs",512000,0.04,0.3,491520.0,147456.0,3.6
TRX9843596,2022-10-01,36256,Kimia Farma - Apotek,Sukabumi,Jawa Barat,4.1,Morgan Torres,KF601,"Psycholeptics drugs, Anxiolytic drugs",512000,0.04,0.3,491520.0,147456.0,3.0
TRX1160787,2021-03-05,67859,Kimia Farma - Apotek,Karawang,Jawa Barat,4.5,Nicholas Lopez,KF601,"Psycholeptics drugs, Anxiolytic drugs",512000,0.04,0.3,491520.0,147456.0,3.3
TRX6806967,2022-07-08,82202,Kimia Farma - Apotek,Jambi,Jambi,4.1,Erin Little,KF601,"Psycholeptics drugs, Anxiolytic drugs",512000,0.04,0.3,491520.0,147456.0,3.7
TRX3492865,2022-05-08,48130,Kimia Farma - Apotek,Tasikmalaya,Jawa Barat,4.7,Bryan Moreno,KF601,"Psycholeptics drugs, Anxiolytic drugs",512000,0.04,0.3,491520.0,147456.0,4.3
TRX9861820,2020-04-24,73804,Kimia Farma - Apotek,Kendari,Sulawesi Tenggara,4.3,George Peck,KF601,"Psycholeptics drugs, Anxiolytic drugs",512000,0.04,0.3,491520.0,147456.0,3.3
TRX9599566,2023-07-27,65948,Kimia Farma - Apotek,Tarakan,Kalimantan Utara,4.4,April Summers,KF601,"Psycholeptics drugs, Anxiolytic drugs",512000,0.04,0.3,491520.0,147456.0,3.1
TRX8024214,2021-02-12,74753,Kimia Farma - Apotek,Magelang,Jawa Tengah,4.6,Tammy Black,KF601,"Psycholeptics drugs, Anxiolytic drugs",512000,0.04,0.3,491520.0,147456.0,4.7
TRX3823931,2022-09-11,80176,Kimia Farma - Apotek,Dumai,Riau,4.7,Sergio Garcia,KF601,"Psycholeptics drugs, Anxiolytic drugs",512000,0.04,0.3,491520.0,147456.0,4.3
TRX1383347,2020-04-03,73158,Kimia Farma - Apotek,Tomohon,Sulawesi Utara,4.7,Melissa Gross,KF601,"Psycholeptics drugs, Anxiolytic drugs",512000,0.04,0.3,491520.0,147456.0,4.8
TRX3866485,2020-09-13,69761,Kimia Farma - Apotek,Subang,Jawa Barat,4.9,Christopher Griffith,KF601,"Psycholeptics drugs, Anxiolytic drugs",512000,0.04,0.3,491520.0,147456.0,3.8
TRX7698521,2023-12-16,58928,Kimia Farma - Apotek,Solok,Sumatera Barat,4.0,Marissa Oneal,KF601,"Psycholeptics drugs, Anxiolytic drugs",512000,0.04,0.3,491520.0,147456.0,3.2
TRX2175935,2020-11-05,69761,Kimia Farma - Apotek,Subang,Jawa Barat,4.9,Rachel Perez DVM,KF601,"Psycholeptics drugs, Anxiolytic drugs",512000,0.04,0.3,491520.0,147456.0,3.4
TRX4861015,2021-11-08,24277,Kimia Farma - Apotek,Lhokseumawe,Aceh,4.2,Nicole Wilson,KF601,"Psycholeptics drugs, Anxiolytic drugs",512000,0.04,0.3,491520.0,147456.0,3.7
TRX3912645,2020-07-18,47175,Kimia Farma - Apotek,Bekasi,Jawa Barat,4.9,Jasmine Jackson,KF601,"Psycholeptics drugs, Anxiolytic drugs",512000,0.04,0.3,491520.0,147456.0,4.9
TRX7246418,2021-05-17,82832,Kimia Farma - Apotek,Purwakarta,Jawa Barat,4.7,Christopher Callahan,KF601,"Psycholeptics drugs, Anxiolytic drugs",512000,0.04,0.3,491520.0,147456.0,3.9
TRX2428067,2020-09-21,76170,Kimia Farma - Apotek,Tangerang,Banten,4.3,Marc Fischer,KF601,"Psycholeptics drugs, Anxiolytic drugs",512000,0.04,0.3,491520.0,147456.0,4.6
TRX3459292,2021-11-28,98041,Kimia Farma - Apotek,Tomohon,Sulawesi Utara,4.5,Rachel Bennett,KF601,"Psycholeptics drugs, Anxiolytic drugs",512000,0.04,0.3,491520.0,147456.0,3.4
TRX1852358,2021-06-04,84922,Kimia Farma - Apotek,Tasikmalaya,Jawa Barat,4.1,Diana Goodwin,KF601,"Psycholeptics drugs, Anxiolytic drugs",512000,0.04,0.3,491520.0,147456.0,3.1
TRX7669421,2021-05-24,72693,Kimia Farma - Apotek,Jakarta,DKI Jakarta,4.7,Scott Evans,KF601,"Psycholeptics drugs, Anxiolytic drugs",512000,0.04,0.3,491520.0,147456.0,4.7
TRX8509843,2020-03-01,61185,Kimia Farma - Apotek,Sibolga,Sumatera Utara,4.4,Edwin Davis,KF601,"Psycholeptics drugs, Anxiolytic drugs",512000,0.04,0.3,491520.0,147456.0,4.0
TRX2341129,2022-03-14,20505,Kimia Farma - Apotek,Cilacap,Jawa Tengah,4.5,Rachel Whitaker,KF601,"Psycholeptics drugs, Anxiolytic drugs",512000,0.04,0.3,491520.0,147456.0,3.6
TRX5954189,2023-02-17,41131,Kimia Farma - Apotek,Yogyakarta,DI Yogyakarta,4.8,Jack Hale,KF601,"Psycholeptics drugs, Anxiolytic drugs",512000,0.04,0.3,491520.0,147456.0,3.2
TRX4062033,2021-04-18,49260,Kimia Farma - Apotek,Ambon,Maluku,4.2,Angela Johnson,KF601,"Psycholeptics drugs, Anxiolytic drugs",512000,0.04,0.3,491520.0,147456.0,3.8
TRX6316857,2022-08-06,21490,Kimia Farma - Apotek,Jayapura,Papua,4.1,Debbie Vaughn,KF601,"Psycholeptics drugs, Anxiolytic drugs",512000,0.04,0.3,491520.0,147456.0,3.8
TRX5668445,2021-05-11,69060,Kimia Farma - Apotek,Ciamis,Jawa Barat,4.4,Claudia James,KF601,"Psycholeptics drugs, Anxiolytic drugs",512000,0.04,0.3,491520.0,147456.0,3.8
TRX1757196,2020-05-21,24913,Kimia Farma - Apotek,Bekasi,Jawa Barat,4.2,Richard Taylor,KF601,"Psycholeptics drugs, Anxiolytic drugs",512000,0.04,0.3,491520.0,147456.0,3.4
TRX9056342,2021-04-08,81487,Kimia Farma - Apotek,Lhokseumawe,Aceh,4.8,James Warren,KF132,"Psycholeptics drugs, Hypnotics and sedatives drugs",6400,0.15,0.1,5440.0,544.0,4.5
TRX9251495,2021-09-07,49758,Kimia Farma - Apotek,Pematangsiantar,Sumatera Utara,4.7,Lauren Collins,KF132,"Psycholeptics drugs, Hypnotics and sedatives drugs",6400,0.15,0.1,5440.0,544.0,4.4
TRX9297868,2022-11-19,89840,Kimia Farma - Apotek,Makassar,Sulawesi Selatan,4.9,Jim Russell,KF132,"Psycholeptics drugs, Hypnotics and sedatives drugs",6400,0.15,0.1,5440.0,544.0,3.4
TRX4993041,2022-08-23,18983,Kimia Farma - Apotek,Solok,Sumatera Barat,4.8,Cynthia Smith,KF132,"Psycholeptics drugs, Hypnotics and sedatives drugs",6400,0.15,0.1,5440.0,544.0,3.1
TRX4680427,2023-03-31,14756,Kimia Farma - Apotek,Ciamis,Jawa Barat,4.3,Brittany Snyder,KF132,"Psycholeptics drugs, Hypnotics and sedatives drugs",6400,0.15,0.1,5440.0,544.0,4.1
TRX5604260,2021-02-19,30842,Kimia Farma - Apotek,Dumai,Riau,4.0,Connie Hansen,KF132,"Psycholeptics drugs, Hypnotics and sedatives drugs",6400,0.15,0.1,5440.0,544.0,4.4
TRX2950541,2021-11-21,12027,Kimia Farma - Apotek,Pangkalpinang,Bangka Belitung,4.8,Sarah Armstrong,KF132,"Psycholeptics drugs, Hypnotics and sedatives drugs",6400,0.15,0.1,5440.0,544.0,4.9
TRX3289756,2021-12-22,30242,Kimia Farma - Apotek,Tarakan,Kalimantan Utara,4.5,Drew Olson,KF132,"Psycholeptics drugs, Hypnotics and sedatives drugs",6400,0.15,0.1,5440.0,544.0,4.2
TRX3011077,2021-03-12,59765,Kimia Farma - Apotek,Garut,Jawa Barat,4.1,Angela Brown,KF132,"Psycholeptics drugs, Hypnotics and sedatives drugs",6400,0.15,0.1,5440.0,544.0,4.2
TRX3027830,2020-03-21,35746,Kimia Farma - Apotek,Surabaya,Jawa Timur,4.5,Victor Atkinson,KF132,"Psycholeptics drugs, Hypnotics and sedatives drugs",6400,0.15,0.1,5440.0,544.0,3.5
TRX9867609,2020-08-16,18306,Kimia Farma - Apotek,Manado,Sulawesi Utara,5.0,Kelly Curtis,KF132,"Psycholeptics drugs, Hypnotics and sedatives drugs",6400,0.15,0.1,5440.0,544.0,4.0
TRX5725820,2020-06-25,60036,Kimia Farma - Apotek,Batam,Kepulauan Riau,4.9,Samantha Osborn,KF132,"Psycholeptics drugs, Hypnotics and sedatives drugs",6400,0.15,0.1,5440.0,544.0,3.7
TRX1888365,2022-10-27,68894,Kimia Farma - Apotek,Madiun,Jawa Timur,4.2,Terry Wang,KF132,"Psycholeptics drugs, Hypnotics and sedatives drugs",6400,0.15,0.1,5440.0,544.0,4.9
TRX7316835,2022-07-27,55568,Kimia Farma - Apotek,Medan,Sumatera Utara,4.9,John Randall,KF132,"Psycholeptics drugs, Hypnotics and sedatives drugs",6400,0.15,0.1,5440.0,544.0,3.3
TRX4981700,2023-06-03,79455,Kimia Farma - Apotek,Mataram,Nusa Tenggara Barat,4.8,Megan Clark,KF132,"Psycholeptics drugs, Hypnotics and sedatives drugs",6400,0.15,0.1,5440.0,544.0,3.4
TRX9544774,2023-06-02,41085,Kimia Farma - Apotek,Padang Sidempuan,Sumatera Utara,5.0,Jessica Kelly,KF132,"Psycholeptics drugs, Hypnotics and sedatives drugs",6400,0.15,0.1,5440.0,544.0,3.9
TRX2982539,2023-04-25,34490,Kimia Farma - Apotek,Tarakan,Kalimantan Utara,4.3,Joshua Johnson,KF132,"Psycholeptics drugs, Hypnotics and sedatives drugs",6400,0.15,0.1,5440.0,544.0,4.8
TRX6111203,2023-08-12,75569,Kimia Farma - Apotek,Indramayu,Jawa Barat,4.1,Timothy Ruiz,KF132,"Psycholeptics drugs, Hypnotics and sedatives drugs",6400,0.15,0.1,5440.0,544.0,4.5
TRX7051711,2020-12-07,12174,Kimia Farma - Apotek,Pangkalpinang,Bangka Belitung,4.7,Carrie Bentley,KF132,"Psycholeptics drugs, Hypnotics and sedatives drugs",6400,0.15,0.1,5440.0,544.0,3.5
TRX3687398,2022-12-13,65560,Kimia Farma - Apotek,Balikpapan,Kalimantan Timur,4.7,Samantha Neal,KF132,"Psycholeptics drugs, Hypnotics and sedatives drugs",6400,0.15,0.1,5440.0,544.0,4.3
