transaction_id,date,branch_id,branch_category,branch_name,kota,provinsi,rating_cabang,customer_name,product_id,product_name,actual_price,discount_percentage,persentase_gross_laba,nett_sales,nett_profit,rating_transaksi,Inventory
TRX3991782,2022-03-28,84961,Klinik & Apotek,Kimia Farma - Klinik & Apotek,Indramayu,Jawa Barat,5.0,Susan Harris,KF402,"Other analgesics and antipyretics, Salicylic acid and derivatives",906500,0.02,0.3,888370.0,266511.0,3.6,91
TRX4255785,2023-02-27,46605,Klinik & Apotek,Kimia Farma - Klinik & Apotek,Balikpapan,Kalimantan Timur,4.2,David Salinas,KF402,"Other analgesics and antipyretics, Salicylic acid and derivatives",906500,0.04,0.3,870240.0,261072.0,4.6,46
TRX6460312,2021-01-25,11344,Klinik & Apotek,Kimia Farma - Klinik & Apotek,Mataram,Nusa Tenggara Barat,4.0,James Moody,KF500,"Psycholeptics drugs, Hypnotics and sedatives drugs",638700,0.05,0.3,606765.0,182029.5,4.2,96
TRX2945971,2020-12-27,58928,Apotek,Kimia Farma - Apotek,Solok,Sumatera Barat,4.0,John Fitzgerald,KF500,"Psycholeptics drugs, Hypnotics and sedatives drugs",638700,0.06,0.3,600378.0,180113.4,3.7,53
TRX1599025,2021-07-29,53570,Klinik & Apotek,Kimia Farma - Klinik & Apotek,Padang Sidempuan,Sumatera Utara,4.2,Elizabeth Rowland,KF402,"Other analgesics and antipyretics, Salicylic acid and derivatives",906500,0.08,0.3,833980.0,250194.0,3.5,43
TRX3159547,2022-01-30,52192,Apotek,Kimia Farma - Apotek,Karawang,Jawa Barat,4.2,William Hernandez,KF500,"Psycholeptics drugs, Hypnotics and sedatives drugs",638700,0.14,0.3,549282.0,164784.6,4.4,14
TRX1021522,2020-11-30,46514,Klinik-Apotek-Laboratorium,Kimia Farma - Klinik-Apotek-Laboratorium,Solok,Sumatera Barat,3.9,Douglas Washington,KF402,"Other analgesics and antipyretics, Salicylic acid and derivatives",906500,0.06,0.3,852110.0,255633.0,3.9,34
TRX9736587,2021-04-10,18454,Klinik-Apotek-Laboratorium,Kimia Farma - Klinik-Apotek-Laboratorium,Jakarta,DKI Jakarta,4.9,Adam Cunningham,KF402,"Other analgesics and antipyretics, Salicylic acid and derivatives",906500,0.04,0.3,870240.0,261072.0,3.5,31
TRX6996441,2021-10-31,48667,Apotek,Kimia Farma - Apotek,Cikampek,Jawa Barat,4.2,Chad Bauer,KF402,"Other analgesics and antipyretics, Salicylic acid and derivatives",906500,0.01,0.3,897435.0,269230.5,3.6,75
TRX8170833,2021-07-09,25219,Klinik & Apotek,Kimia Farma - Klinik & Apotek,Batam,Kepulauan Riau,4.3,Jonathan Hart,KF500,"Psycholeptics drugs, Hypnotics and sedatives drugs",638700,0.09,0.3,581217.0,174365.1,3.5,60
TRX6514475,2021-09-04,58979,Klinik-Apotek-Laboratorium,Kimia Farma - Klinik-Apotek-Laboratorium,Cirebon,Jawa Barat,4.0,Bradley Knight,KF500,"Psycholeptics drugs, Hypnotics and sedatives drugs",638700,0.07,0.3,593991.0,178197.3,4.4,81
TRX6882603,2023-08-10,81651,Apotek,Kimia Farma - Apotek,Bitung,Sulawesi Utara,4.2,Christina Bauer,KF679,"Psycholeptics drugs, Anxiolytic drugs",924800,0.0,0.3,924800.0,277440.0,4.1,60
TRX3431187,2020-02-13,53371,Klinik & Apotek,Kimia Farma - Klinik & Apotek,Tomohon,Sulawesi Utara,4.8,Jennifer Lara,KF679,"Psycholeptics drugs, Anxiolytic drugs",924800,0.06,0.3,869312.0,260793.59999999998,3.0,55
TRX9249183,2023-03-19,35857,Klinik & Apotek,Kimia Farma - Klinik & Apotek,Payakumbuh,Sumatera Barat,4.9,Kimberly Butler,KF402,"Other analgesics and antipyretics, Salicylic acid and derivatives",906500,0.12,0.3,797720.0,239316.0,3.6,21
TRX4786253,2023-09-12,26429,Klinik & Apotek,Kimia Farma - Klinik & Apotek,Sukabumi,Jawa Barat,4.8,Natasha Espinoza,KF500,"Psycholeptics drugs, Hypnotics and sedatives drugs",638700,0.06,0.3,600378.0,180113.4,3.6,30
TRX1894157,2021-10-26,18342,Apotek,Kimia Farma - Apotek,Garut,Jawa Barat,4.6,Chelsea Grimes,KF679,"Psycholeptics drugs, Anxiolytic drugs",924800,0.06,0.3,869312.0,260793.59999999998,4.2,77
TRX5772304,2021-05-22,47413,Klinik & Apotek,Kimia Farma - Klinik & Apotek,Garut,Jawa Barat,4.4,Anna Chang,KF679,"Psycholeptics drugs, Anxiolytic drugs",924800,0.02,0.3,906304.0,271891.2,4.9,60
TRX3167789,2021-08-16,83109,Klinik-Apotek-Laboratorium,Kimia Farma - Klinik-Apotek-Laboratorium,Banda Aceh,Aceh,4.6,Daniel Cobb,KF679,"Psycholeptics drugs, Anxiolytic drugs",924800,0.09,0.3,841568.0,252470.4,3.9,67
TRX4399030,2022-05-12,13811,Klinik & Apotek,Kimia Farma - Klinik & Apotek,Batam,Kepulauan Riau,4.0,Rita Vargas,KF679,"Psycholeptics drugs, Anxiolytic drugs",924800,0.0,0.3,924800.0,277440.0,3.6,74
TRX3447154,2022-08-24,43109,Klinik-Apotek-Laboratorium,Kimia Farma - Klinik-Apotek-Laboratorium,Kendari,Sulawesi Tenggara,4.4,David Lopez,KF500,"Psycholeptics drugs, Hypnotics and sedatives drugs",638700,0.04,0.3,613152.0,183945.6,3.9,15
TRX3202735,2020-09-08,48459,Klinik-Apotek-Laboratorium,Kimia Farma - Klinik-Apotek-Laboratorium,Sibolga,Sumatera Utara,4.0,Daniel Evans,KF402,"Other analgesics and antipyretics, Salicylic acid and derivatives",906500,0.04,0.3,870240.0,261072.0,4.5,1
TRX9215044,2023-09-06,45833,Klinik-Apotek-Laboratorium,Kimia Farma - Klinik-Apotek-Laboratorium,Mataram,Nusa Tenggara Barat,4.2,Austin Rios,KF679,"Psycholeptics drugs, Anxiolytic drugs",924800,0.13,0.3,804576.0,241372.8,3.5,11
TRX3533799,2023-01-16,14855,Klinik-Apotek-Laboratorium,Kimia Farma - Klinik-Apotek-Laboratorium,Tasikmalaya,Jawa Barat,4.8,Caitlyn Levine,KF402,"Other analgesics and antipyretics, Salicylic acid and derivatives",906500,0.08,0.3,833980.0,250194.0,3.3,44
TRX2597177,2021-05-23,60964,Apotek,Kimia Farma - Apotek,Pariaman,Sumatera Barat,4.3,Jessica Howe,KF679,"Psycholeptics drugs, Anxiolytic drugs",924800,0.14,0.3,795328.0,238598.4,3.2,19
TRX4702159,2020-08-31,30515,Klinik-Apotek-Laboratorium,Kimia Farma - Klinik-Apotek-Laboratorium,Jayapura,Papua,4.8,Barbara Hunter,KF402,"Other analgesics and antipyretics, Salicylic acid and derivatives",906500,0.02,0.3,888370.0,266511.0,3.4,63
TRX6016045,2022-10-09,19046,Klinik-Apotek-Laboratorium,Kimia Farma - Klinik-Apotek-Laboratorium,Langsa,Aceh,5.0,David Smith DDS,KF500,"Psycholeptics drugs, Hypnotics and sedatives drugs",638700,0.03,0.3,619539.0,185861.69999999998,3.5,50
TRX6589237,2021-02-11,20835,Klinik-Apotek-Laboratorium,Kimia Farma - Klinik-Apotek-Laboratorium,Jayapura,Papua,4.0,Samantha Roberts,KF500,"Psycholeptics drugs, Hypnotics and sedatives drugs",638700,0.08,0.3,587604.0,176281.19999999998,3.1,92
TRX4508560,2023-09-13,68228,Klinik-Apotek-Laboratorium,Kimia Farma - Klinik-Apotek-Laboratorium,Jayapura,Papua,4.7,Jordan Rodriguez,KF500,"Psycholeptics drugs, Hypnotics and sedatives drugs",638700,0.1,0.3,574830.0,172449.0,3.2,17
TRX7949777,2021-11-11,39278,Klinik & Apotek,Kimia Farma - Klinik & Apotek,Ciamis,Jawa Barat,4.4,Suzanne Vang,KF402,"Other analgesics and antipyretics, Salicylic acid and derivatives",906500,0.06,0.3,852110.0,255633.0,5.0,9
TRX3026764,2021-04-04,18454,Klinik-Apotek-Laboratorium,Kimia Farma - Klinik-Apotek-Laboratorium,Jakarta,DKI Jakarta,4.9,Jennifer Tate,KF500,"Psycholeptics drugs, Hypnotics and sedatives drugs",638700,0.08,0.3,587604.0,176281.19999999998,3.5,68
TRX6882603,2023-08-10,81651,Apotek,Kimia Farma - Apotek,Bitung,Sulawesi Utara,4.2,Christina Bauer,KF679,"Psycholeptics drugs, Anxiolytic drugs",924800,0.0,0.3,924800.0,277440.0,4.1,99
TRX8963658,2022-04-26,97368,Klinik-Apotek-Laboratorium,Kimia Farma - Klinik-Apotek-Laboratorium,Langsa,Aceh,4.3,John Diaz,KF679,"Psycholeptics drugs, Anxiolytic drugs",924800,0.05,0.3,878560.0,263568.0,3.8,87
TRX2736549,2022-05-15,84863,Klinik-Apotek-Laboratorium,Kimia Farma - Klinik-Apotek-Laboratorium,Kendari,Sulawesi Tenggara,4.7,Kelly Barnes,KF679,"Psycholeptics drugs, Anxiolytic drugs",924800,0.06,0.3,869312.0,260793.59999999998,3.0,91
TRX7895943,2020-06-19,86503,Klinik-Apotek-Laboratorium,Kimia Farma - Klinik-Apotek-Laboratorium,Semarang,Jawa Tengah,4.6,Justin Parker,KF500,"Psycholeptics drugs, Hypnotics and sedatives drugs",638700,0.14,0.3,549282.0,164784.6,4.4,6
TRX4306627,2022-06-26,78878,Klinik & Apotek,Kimia Farma - Klinik & Apotek,Tasikmalaya,Jawa Barat,4.9,Nicholas Johnson,KF679,"Psycholeptics drugs, Anxiolytic drugs",924800,0.09,0.3,841568.0,252470.4,3.9,68
TRX9500745,2021-07-07,26358,Klinik-Apotek-Laboratorium,Kimia Farma - Klinik-Apotek-Laboratorium,Dumai,Riau,4.7,Ronald Lucas,KF402,"Other analgesics and antipyretics, Salicylic acid and derivatives",906500,0.05,0.3,861175.0,258352.5,4.0,2
TRX7357905,2020-12-01,44061,Klinik-Apotek-Laboratorium,Kimia Farma - Klinik-Apotek-Laboratorium,Kotamobagu,Sulawesi Utara,4.7,Thomas West MD,KF500,"Psycholeptics drugs, Hypnotics and sedatives drugs",638700,0.06,0.3,600378.0,180113.4,3.1,9
TRX9293050,2022-01-14,99997,Klinik-Apotek-Laboratorium,Kimia Farma - Klinik-Apotek-Laboratorium,Pariaman,Sumatera Barat,4.6,Timothy Nelson,KF402,"Other analgesics and antipyretics, Salicylic acid and derivatives",906500,0.1,0.3,815850.0,244755.0,3.2,32
TRX8152473,2020-09-04,31337,Klinik-Apotek-Laboratorium,Kimia Farma - Klinik-Apotek-Laboratorium,Deli Serdang,Sumatera Utara,4.4,Matthew Alexander,KF402,"Other analgesics and antipyretics, Salicylic acid and derivatives",906500,0.12,0.3,797720.0,239316.0,4.8,75
TRX1106963,2023-08-02,15391,Klinik & Apotek,Kimia Farma - Klinik & Apotek,Mataram,Nusa Tenggara Barat,4.2,Matthew Maddox,KF679,"Psycholeptics drugs, Anxiolytic drugs",924800,0.15,0.3,786080.0,235824.0,3.3,72
TRX9428118,2023-08-18,14722,Klinik-Apotek-Laboratorium,Kimia Farma - Klinik-Apotek-Laboratorium,Medan,Sumatera Utara,4.0,Kathleen Hurst,KF402,"Other analgesics and antipyretics, Salicylic acid and derivatives",906500,0.01,0.3,897435.0,269230.5,4.7,65
TRX5193313,2020-02-13,93096,Klinik-Apotek-Laboratorium,Kimia Farma - Klinik-Apotek-Laboratorium,Pariaman,Sumatera Barat,4.7,Wendy Thompson,KF679,"Psycholeptics drugs, Anxiolytic drugs",924800,0.1,0.3,832320.0,249696.0,3.5,94
TRX6815557,2020-12-14,75569,Apotek,Kimia Farma - Apotek,Indramayu,Jawa Barat,4.1,Tara Flores,KF402,"Other analgesics and antipyretics, Salicylic acid and derivatives",906500,0.09,0.3,824915.0,247474.5,3.4,66
TRX5850977,2023-08-27,68330,Klinik-Apotek-Laboratorium,Kimia Farma - Klinik-Apotek-Laboratorium,Magelang,Jawa Tengah,4.6,Tonya Lewis,KF500,"Psycholeptics drugs, Hypnotics and sedatives drugs",638700,0.1,0.3,574830.0,172449.0,3.1,14
TRX8643332,2023-07-06,61007,Apotek,Kimia Farma - Apotek,Purwakarta,Jawa Barat,4.0,Donna Perez,KF402,"Other analgesics and antipyretics, Salicylic acid and derivatives",906500,0.02,0.3,888370.0,266511.0,3.1,58
TRX3129700,2021-05-04,76209,Klinik & Apotek,Kimia Farma - Klinik & Apotek,Purwakarta,Jawa Barat,4.1,Rachel Reed,KF679,"Psycholeptics drugs, Anxiolytic drugs",924800,0.14,0.3,795328.0,238598.4,3.4,84
TRX2568375,2022-04-07,57503,Apotek,Kimia Farma - Apotek,Subang,Jawa Barat,4.6,Ashlee Williams,KF402,"Other analgesics and antipyretics, Salicylic acid and derivatives",906500,0.01,0.3,897435.0,269230.5,5.0,69
TRX6340517,2021-10-09,90465,Klinik & Apotek,Kimia Farma - Klinik & Apotek,Jayapura,Papua,4.7,Kristie Warren,KF679,"Psycholeptics drugs, Anxiolytic drugs",924800,0.04,0.3,887808.0,266342.39999999997,3.8,64
TRX4476851,2023-09-11,61444,Klinik-Apotek-Laboratorium,Kimia Farma - Klinik-Apotek-Laboratorium,Kuningan,Jawa Barat,4.1,Cameron Davis,KF402,"Other analgesics and antipyretics, Salicylic acid and derivatives",906500,0.15,0.3,770525.0,231157.5,3.5,68
TRX8139406,2023-04-07,43109,Klinik-Apotek-Laboratorium,Kimia Farma - Klinik-Apotek-Laboratorium,Kendari,Sulawesi Tenggara,4.4,Melissa Wallace,KF500,"Psycholeptics drugs, Hypnotics and sedatives drugs",638700,0.15,0.3,542895.0,162868.5,3.0,87
TRX4995842,2023-02-17,61932,Klinik & Apotek,Kimia Farma - Klinik & Apotek,Kupang,Nusa Tenggara Timur,4.9,Sarah Lindsey,KF679,"Psycholeptics drugs, Anxiolytic drugs",924800,0.07,0.3,860064.0,258019.19999999998,4.7,66
TRX3763553,2020-02-13,89840,Apotek,Kimia Farma - Apotek,Makassar,Sulawesi Selatan,4.9,Scott Lee,KF500,"Psycholeptics drugs, Hypnotics and sedatives drugs",638700,0.13,0.3,555669.0,166700.69999999998,3.5,86
TRX7939078,2020-02-16,21125,Klinik & Apotek,Kimia Farma - Klinik & Apotek,Dumai,Riau,4.3,Shannon Bell,KF402,"Other analgesics and antipyretics, Salicylic acid and derivatives",906500,0.02,0.3,888370.0,266511.0,4.6,81
TRX1772007,2022-07-31,42291,Apotek,Kimia Farma - Apotek,Tarakan,Kalimantan Utara,4.3,Eugene Salas,KF500,"Psycholeptics drugs, Hypnotics and sedatives drugs",638700,0.01,0.3,632313.0,189693.9,4.3,20
TRX8487823,2020-10-24,41261,Apotek,Kimia Farma - Apotek,Deli Serdang,Sumatera Utara,4.6,Eric Gonzalez,KF679,"Psycholeptics drugs, Anxiolytic drugs",924800,0.0,0.3,924800.0,277440.0,4.4,17
TRX5274444,2022-09-24,78631,Apotek,Kimia Farma - Apotek,Pangkalpinang,Bangka Belitung,4.3,Joseph Gonzales,KF402,"Other analgesics and antipyretics, Salicylic acid and derivatives",906500,0.03,0.3,879305.0,263791.5,4.3,14
TRX2980897,2022-03-04,40784,Klinik & Apotek,Kimia Farma - Klinik & Apotek,Jayapura,Papua,4.1,Yvonne Cooper,KF679,"Psycholeptics drugs, Anxiolytic drugs",924800,0.07,0.3,860064.0,258019.19999999998,3.3,34
TRX9016908,2023-02-25,51224,Klinik-Apotek-Laboratorium,Kimia Farma - Klinik-Apotek-Laboratorium,Palembang,Sumatera Selatan,4.7,Jay Jones,KF679,"Psycholeptics drugs, Anxiolytic drugs",924800,0.01,0.3,915552.0,274665.6,4.0,19
TRX7184616,2022-09-21,25318,Klinik & Apotek,Kimia Farma - Klinik & Apotek,Banjarmasin,Kalimantan Selatan,4.8,Sharon Bradley,KF679,"Psycholeptics drugs, Anxiolytic drugs",924800,0.05,0.3,878560.0,263568.0,3.4,22
TRX7686388,2023-08-24,40244,Klinik-Apotek-Laboratorium,Kimia Farma - Klinik-Apotek-Laboratorium,Manado,Sulawesi Utara,4.6,Kristin House,KF679,"Psycholeptics drugs, Anxiolytic drugs",924800,0.13,0.3,804576.0,241372.8,3.4,7
TRX6090168,2020-06-26,77824,Apotek,Kimia Farma - Apotek,Banda Aceh,Aceh,4.5,Stephen Bell,KF679,"Psycholeptics drugs, Anxiolytic drugs",924800,0.14,0.3,795328.0,238598.4,3.7,0
TRX6511625,2021-11-05,83060,Klinik & Apotek,Kimia Farma - Klinik & Apotek,Balikpapan,Kalimantan Timur,4.1,Michelle Murphy,KF679,"Psycholeptics drugs, Anxiolytic drugs",924800,0.13,0.3,804576.0,241372.8,3.5,74
TRX6445018,2022-04-24,93854,Klinik & Apotek,Kimia Farma - Klinik & Apotek,Pekanbaru,Riau,4.5,Nancy Jackson,KF679,"Psycholeptics drugs, Anxiolytic drugs",924800,0.03,0.3,897056.0,269116.8,4.6,2
TRX2782237,2023-02-08,63163,Klinik-Apotek-Laboratorium,Kimia Farma - Klinik-Apotek-Laboratorium,Lhokseumawe,Aceh,4.6,Kimberly Hernandez,KF500,"Psycholeptics drugs, Hypnotics and sedatives drugs",638700,0.1,0.3,574830.0,172449.0,4.1,79
TRX8494217,2023-01-03,36687,Klinik-Apotek-Laboratorium,Kimia Farma - Klinik-Apotek-Laboratorium,Makassar,Sulawesi Selatan,4.3,Renee Donovan,KF500,"Psycholeptics drugs, Hypnotics and sedatives drugs",638700,0.01,0.3,632313.0,189693.9,3.1,34
TRX6104215,2023-02-17,93257,Apotek,Kimia Farma - Apotek,Kotamobagu,Sulawesi Utara,4.6,Mary Brandt,KF500,"Psycholeptics drugs, Hypnotics and sedatives drugs",638700,0.09,0.3,581217.0,174365.1,3.9,82
TRX3686865,2021-01-23,68933,Apotek,Kimia Farma - Apotek,Bogor,Jawa Barat,4.9,Steven Howard,KF679,"Psycholeptics drugs, Anxiolytic drugs",924800,0.11,0.3,823072.0,246921.59999999998,3.1,83
TRX1001735,2022-11-16,24832,Klinik-Apotek-Laboratorium,Kimia Farma - Klinik-Apotek-Laboratorium,Pekanbaru,Riau,4.2,Doris Butler,KF679,"Psycholeptics drugs, Anxiolytic drugs",924800,0.06,0.3,869312.0,260793.59999999998,4.6,18
TRX1972750,2022-08-03,40960,Klinik-Apotek-Laboratorium,Kimia Farma - Klinik-Apotek-Laboratorium,Tebing Tinggi,Sumatera Utara,4.5,Andrew Pittman,KF679,"Psycholeptics drugs, Anxiolytic drugs",924800,0.02,0.3,906304.0,271891.2,3.1,42
TRX1566352,2020-04-14,73436,Apotek,Kimia Farma - Apotek,Jambi,Jambi,4.4,Richard Carter,KF402,"Other analgesics and antipyretics, Salicylic acid and derivatives",906500,0.06,0.3,852110.0,255633.0,4.4,11
TRX2599087,2020-11-22,14338,Klinik & Apotek,Kimia Farma - Klinik & Apotek,Cilacap,Jawa Tengah,4.0,William Mueller,KF402,"Other analgesics and antipyretics, Salicylic acid and derivatives",906500,0.05,0.3,861175.0,258352.5,3.4,8
TRX8171555,2022-01-30,20382,Apotek,Kimia Farma - Apotek,Batam,Kepulauan Riau,4.2,Amber Olson,KF500,"Psycholeptics drugs, Hypnotics and sedatives drugs",638700,0.14,0.3,549282.0,164784.6,4.3,21
TRX1808633,2021-04-04,59448,Klinik-Apotek-Laboratorium,Kimia Farma - Klinik-Apotek-Laboratorium,Cirebon,Jawa Barat,4.2,Daniel Brock,KF402,"Other analgesics and antipyretics, Salicylic acid and derivatives",906500,0.09,0.3,824915.0,247474.5,3.8,64
TRX7842769,2022-09-27,73256,Klinik & Apotek,Kimia Farma - Klinik & Apotek,Ternate,Maluku Utara,4.4,Robert Hill,KF500,"Psycholeptics drugs, Hypnotics and sedatives drugs",638700,0.12,0.3,562056.0,168616.8,3.6,35
TRX1968804,2022-08-11,65133,Klinik-Apotek-Laboratorium,Kimia Farma - Klinik-Apotek-Laboratorium,Tebing Tinggi,Sumatera Utara,4.8,Kevin Campbell,KF500,"Psycholeptics drugs, Hypnotics and sedatives drugs",638700,0.13,0.3,555669.0,166700.69999999998,4.8,23
TRX3332766,2023-11-11,54372,Apotek,Kimia Farma - Apotek,Padang,Sumatera Barat,4.2,Andrew Watkins,KF500,"Psycholeptics drugs, Hypnotics and sedatives drugs",638700,0.01,0.3,632313.0,189693.9,3.2,26
TRX2455620,2020-04-20,97368,Klinik-Apotek-Laboratorium,Kimia Farma - Klinik-Apotek-Laboratorium,Langsa,Aceh,4.3,Monica Haynes,KF679,"Psycholeptics drugs, Anxiolytic drugs",924800,0.04,0.3,887808.0,266342.39999999997,3.7,87
TRX7261402,2021-09-02,38076,Klinik & Apotek,Kimia Farma - Klinik & Apotek,Sukabumi,Jawa Barat,4.5,Jamie Douglas,KF500,"Psycholeptics drugs, Hypnotics and sedatives drugs",638700,0.07,0.3,593991.0,178197.3,4.7,8
TRX8062696,2021-08-23,64120,Klinik & Apotek,Kimia Farma - Klinik & Apotek,Lhokseumawe,Aceh,4.4,Kevin Murray,KF402,"Other analgesics and antipyretics, Salicylic acid and derivatives",906500,0.06,0.3,852110.0,255633.0,3.3,8
TRX8269909,2020-11-28,12991,Apotek,Kimia Farma - Apotek,Garut,Jawa Barat,3.9,Brenda Mitchell,KF679,"Psycholeptics drugs, Anxiolytic drugs",924800,0.11,0.3,823072.0,246921.59999999998,3.1,56
TRX5445955,2020-03-07,44302,Klinik & Apotek,Kimia Farma - Klinik & Apotek,Deli Serdang,Sumatera Utara,3.9,Jordan Hunter,KF500,"Psycholeptics drugs, Hypnotics and sedatives drugs",638700,0.03,0.3,619539.0,185861.69999999998,4.8,13
TRX6700654,2022-01-25,82894,Apotek,Kimia Farma - Apotek,Tomohon,Sulawesi Utara,4.5,Mary Singh,KF500,"Psycholeptics drugs, Hypnotics and sedatives drugs",638700,0.07,0.3,593991.0,178197.3,4.4,30
TRX1021946,2022-02-21,87381,Klinik & Apotek,Kimia Farma - Klinik & Apotek,Tanjungpinang,Kepulauan Riau,4.0,Brandon Hopkins,KF402,"Other analgesics and antipyretics, Salicylic acid and derivatives",906500,0.05,0.3,861175.0,258352.5,4.9,20
TRX2246710,2023-03-04,89840,Apotek,Kimia Farma - Apotek,Makassar,Sulawesi Selatan,4.9,Grant Harrison,KF500,"Psycholeptics drugs, Hypnotics and sedatives drugs",638700,0.08,0.3,587604.0,176281.19999999998,3.5,28
TRX1223931,2022-11-08,56155,Klinik & Apotek,Kimia Farma - Klinik & Apotek,Ambon,Maluku,4.4,James Evans,KF679,"Psycholeptics drugs, Anxiolytic drugs",924800,0.03,0.3,897056.0,269116.8,3.9,17
TRX8172814,2022-06-06,86394,Klinik & Apotek,Kimia Farma - Klinik & Apotek,Lhokseumawe,Aceh,4.9,Darius Schaefer,KF402,"Other analgesics and antipyretics, Salicylic acid and derivatives",906500,0.02,0.3,888370.0,266511.0,4.0,6
TRX4786397,2021-12-13,26139,Klinik & Apotek,Kimia Farma - Klinik & Apotek,Tasikmalaya,Jawa Barat,4.2,Dawn Williams,KF679,"Psycholeptics drugs, Anxiolytic drugs",924800,0.11,0.3,823072.0,246921.59999999998,3.1,58
TRX6275532,2022-12-15,40540,Apotek,Kimia Farma - Apotek,Ciamis,Jawa Barat,4.7,Anthony Williams,KF500,"Psycholeptics drugs, Hypnotics and sedatives drugs",638700,0.12,0.3,562056.0,168616.8,3.5,84
TRX4125854,2020-12-09,12715,Klinik-Apotek-Laboratorium,Kimia Farma - Klinik-Apotek-Laboratorium,Samarinda,Kalimantan Timur,5.0,Angel Leblanc,KF500,"Psycholeptics drugs, Hypnotics and sedatives drugs",638700,0.14,0.3,549282.0,164784.6,4.3,32
TRX8845081,2022-11-11,67860,Apotek,Kimia Farma - Apotek,Bontang,Kalimantan Timur,4.3,Caitlyn Shaw,KF679,"Psycholeptics drugs, Anxiolytic drugs",924800,0.11,0.3,823072.0,246921.59999999998,3.6,10
TRX4462198,2023-03-05,17977,Klinik-Apotek-Laboratorium,Kimia Farma - Klinik-Apotek-Laboratorium,Ciamis,Jawa Barat,4.5,Melissa Smith,KF679,"Psycholeptics drugs, Anxiolytic drugs",924800,0.08,0.3,850816.0,255244.8,4.8,17
TRX6855134,2023-04-27,35365,Apotek,Kimia Farma - Apotek,Pariaman,Sumatera Barat,4.5,David Oconnor,KF500,"Psycholeptics drugs, Hypnotics and sedatives drugs",638700,0.01,0.3,632313.0,189693.9,3.1,10
TRX8745619,2021-07-14,73588,Klinik-Apotek-Laboratorium,Kimia Farma - Klinik-Apotek-Laboratorium,Tebing Tinggi,Sumatera Utara,4.5,Stephanie Martinez,KF500,"Psycholeptics drugs, Hypnotics and sedatives drugs",638700,0.08,0.3,587604.0,176281.19999999998,3.8,76
TRX2088101,2020-06-15,52196,Klinik & Apotek,Kimia Farma - Klinik & Apotek,Palembang,Sumatera Selatan,4.5,Heather Ashley,KF402,"Other analgesics and antipyretics, Salicylic acid and derivatives",906500,0.1,0.3,815850.0,244755.0,3.8,6
